eid,subject,ts_all_zero,mean_global_nonzero_frac,mean_atlas_nonzero_frac,bbox_x0,bbox_x1,bbox_y0,bbox_y1,bbox_z0,bbox_z1,com_x,com_y,com_z
1122435,1122435_20227_2_0,1,0.006582992569483143,0.0,35,63,0,15,0,22,49.583810164927634,5.047458768091552,8.762874453046113
1124163,1124163_20227_2_0,1,0.0059138361386571895,0.0,38,64,0,16,0,19,51.19201948295242,5.703634319970027,7.710378418883477
1128997,1128997_20227_2_0,1,0.03928302768911701,0.0,0,43,0,36,0,37,15.337920920525692,13.523859213717637,17.073241581589485
1131661,1131661_20227_2_0,1,0.002416275125217559,0.0,23,39,32,48,39,56,30.05685465382852,39.624484181568086,47.70288858321871
1132975,1132975_20227_2_0,0,0.006533138199636838,0.33491983967935873,25,44,48,74,25,46,34.2937086654231,60.805833474648125,35.68763778192301
1133521,1133521_20227_2_0,1,0.0051970410877558776,0.0,28,67,0,17,0,15,48.13557876785334,6.121509273076104,4.763803027073119
1133628,1133628_20227_2_0,1,0.004237621436935884,0.0,28,59,0,19,0,14,43.72183006535948,6.61516339869281,4.632156862745098
1133854,1133854_20227_2_0,1,0.0626658350219193,0.0,0,30,0,61,0,48,11.244271975107843,23.060816066756242,21.869934940951843
1134039,1134039_20227_2_0,0,0.0614150442762198,0.5117735470941884,8,50,29,75,7,73,28.317669342473167,51.87082168305222,42.25516370524037
1135092,1135092_20227_2_0,1,0.04991973446454745,0.0,38,90,0,50,0,37,71.46450209725027,16.884085310370846,13.766550522648084
1135325,1135325_20227_2_0,1,0.031735076094386507,0.0,0,42,0,35,0,31,15.353639378600105,13.79849886542154,13.215360446849363
1136698,1136698_20227_2_0,0,0.01696156449659827,0.13564629258517033,25,62,25,56,29,58,44.62795558458524,39.27433050293926,43.170215545395166
1137366,1137366_20227_2_0,1,0.04616957797721988,0.0,0,36,0,46,0,58,12.132552670729952,16.52406776407352,25.59233574890819
1137382,1137382_20227_2_0,1,0.046078732236611054,0.0,0,39,0,42,0,48,14.289671090594345,16.35475572225428,21.682102327370647
1137799,1137799_20227_2_0,1,0.035779927301250014,0.0,0,33,0,50,0,50,11.532171166707952,20.11964329947981,19.281118404756008
1138546,1138546_20227_2_0,1,0.027155121317839332,0.0,0,35,0,33,0,34,15.013748929052262,14.309167312635143,14.689975929174656
1138821,1138821_20227_2_0,1,0.0022545253919384377,0.0,23,39,32,47,39,55,30.372972972972974,39.383292383292385,47.62407862407862
1141086,1141086_20227_2_0,1,0.007071565393976928,0.0,19,44,20,44,4,25,31.828607237975874,32.18799937333542,14.379602067993106
1142638,1142638_20227_2_0,1,0.03282300923192142,0.0,0,39,0,44,0,29,14.153879906841732,15.570965673203498,13.077463124852331
1144302,1144302_20227_2_0,0,0.04602333849233738,0.3091182364729459,40,81,24,69,21,68,61.36375234702229,46.86052669587406,45.940445813875115
1144744,1144744_20227_2_0,1,0.026646606745407028,0.0,0,30,0,39,0,38,10.975719274904375,17.908905704307333,16.66056876767005
1147403,1147403_20227_2_0,1,0.002592427232007835,0.0,22,39,32,46,39,56,30.0991452991453,39.05384615384615,47.79059829059829
1148520,1148520_20227_2_0,1,0.03192895419934436,0.0,0,43,0,33,0,32,15.997952810548231,13.208743927827896,13.754233171408744
1150435,1150435_20227_2_0,0,0.06168314999850437,0.36986472945891785,43,81,25,81,20,76,60.398890026402285,51.56971460387593,47.88172854140848
1151215,1151215_20227_2_0,1,0.0439084053359686,0.0,0,35,0,43,0,52,11.566068680140287,15.263770090581081,22.629071733151665
1151509,1151509_20227_2_0,1,0.03380015488090899,0.0,0,42,0,35,0,30,15.45675046707529,14.57730505752401,13.604444590120949
1151630,1151630_20227_2_0,1,0.03694098018122617,0.0,0,38,0,43,0,45,13.155560220729367,16.254498560460654,19.210412667946258
1151898,1151898_20227_2_0,0,0.006074477997050837,0.003381763527054108,22,38,24,52,27,56,29.689038847346342,37.93051249316068,42.98595659310596
1152252,1152252_20227_2_0,1,0.032919394346957606,0.0,0,37,0,43,0,31,13.520259810190483,16.13172242040789,13.655078414215522
1153894,1153894_20227_2_0,1,0.03840115928028016,0.0,0,38,0,44,0,47,13.23651260746639,16.90136172177024,19.755120881657145
1154902,1154902_20227_2_0,0,0.05892343365879005,0.47394789579158314,9,51,29,74,11,72,28.34588049486707,50.59536344150716,43.71434212010679
1155607,1155607_20227_2_0,1,0.03300137708848264,0.0,0,43,0,36,0,32,15.029810662011549,13.841580502215658,13.805190009399759
1156826,1156826_20227_2_0,1,0.039062560586907796,0.0,0,40,0,47,0,49,13.628974162625145,17.085453359425962,19.671289599818486
1157253,1157253_20227_2_0,0,0.006893197537415704,0.10871743486973948,32,55,57,79,36,59,43.89360334297653,67.67791706846673,47.23915139826423
1160426,1160426_20227_2_0,1,0.019840931323943725,0.0,17,54,1,28,16,54,35.57591155285052,14.311351834273271,33.70740968228265
1160857,1160857_20227_2_0,1,0.030462127850977534,0.0,0,41,0,35,0,31,14.607106488216468,13.575720104742508,13.654422461448938
1163999,1163999_20227_2_0,1,0.0028339439570410434,0.0,22,41,32,48,39,55,30.546911649726347,40.231430805316656,47.60946051602815
1166102,1166102_20227_2_0,1,0.003400068023517968,0.0,30,60,0,17,0,11,44.65917236884979,6.649723036819811,3.7644183773216033
1166646,1166646_20227_2_0,1,0.005552668925992849,0.0,31,58,0,15,0,19,44.672386272944934,5.124301675977653,7.637869114126097
1167142,1167142_20227_2_0,1,0.0027275879680355936,0.0,22,40,32,47,39,56,30.164500406173843,39.56661251015434,47.64419171405361
1167741,1167741_20227_2_0,1,0.0010967961366186994,0.0,38,52,0,6,28,46,45.02121212121212,2.118181818181818,36.29191919191919
1169378,1169378_20227_2_0,1,0.0017426871948497112,0.0,23,38,34,47,40,55,29.865861411315958,40.56261919898284,47.968213604577244
1169721,1169721_20227_2_0,1,0.02928999622214664,0.0,0,43,0,35,0,29,15.61025796202436,13.94001059081625,12.360087752477494
1169932,1169932_20227_2_0,1,0.009513321641560376,0.0,20,57,1,26,18,39,38.25713287527658,13.690928147199255,27.417724467217887
1170182,1170182_20227_2_0,1,0.00401383071007025,0.0,26,58,0,22,0,12,41.73999447971295,7.294507314380348,3.9158156224123655
1170433,1170433_20227_2_0,1,0.0022500938923965437,0.0,23,39,32,48,40,55,30.520925652387987,39.80059084194978,48.04234367306746
1170755,1170755_20227_2_0,1,0.02591873294565098,0.0,0,34,0,40,0,29,12.973712331694806,16.04086343235734,12.763111776020517
1171312,1171312_20227_2_0,0,0.05980197844297048,0.48471943887775554,8,50,30,74,7,74,28.171122103040073,51.735193315919155,42.52755701291243
1173196,1173196_20227_2_0,1,0.0010458338918869214,0.0,38,52,0,6,27,43,44.99576271186441,2.1716101694915255,34.54978813559322
1173655,1173655_20227_2_0,1,0.025334882881006483,0.0,0,36,0,37,4,38,13.213398635648067,15.4749431520028,21.176928458981983
1174288,1174288_20227_2_0,1,0.002337616008348945,0.0,23,39,33,47,39,55,30.392417061611376,39.92796208530806,47.71042654028436
1175630,1175630_20227_2_0,1,0.040445188443978645,0.0,0,36,0,45,0,50,12.77097542936971,17.23485906812392,20.692059057167118
1177479,1177479_20227_2_0,0,0.07069238856717433,0.018912825651302607,0,45,0,49,0,53,19.85053832531461,20.214029368897805,25.161669983858076
1177832,1177832_20227_2_0,1,0.002551435861245318,0.0,22,40,32,48,39,55,30.348241424229265,39.587060356057314,47.47590099869735
1181933,1181933_20227_2_0,1,0.005316691575387008,0.0,48,69,0,16,0,23,57.96853511148156,5.497186913940404,9.346947280683477
1182839,1182839_20227_2_0,1,0.03305455508298537,0.0,0,45,0,35,0,31,16.433436117442017,13.461221343343611,13.324239174152032
1182886,1182886_20227_2_0,0,0.007214481254203001,0.34018036072144286,25,45,47,75,24,48,34.34167690417691,61.40924447174447,36.258292383292385
1183735,1183735_20227_2_0,0,0.7804468945713022,1.0,0,90,0,108,0,90,44.77090910123301,53.60849679326116,40.18171520070863
1187755,1187755_20227_2_0,1,0.024858496680252907,0.0,0,41,0,37,0,27,14.377662893305999,14.555887333986986,10.537079953650059
1189819,1189819_20227_2_0,0,0.07096160216434437,0.5458416833667334,17,77,49,100,16,68,46.00201398863423,76.61963716979953,42.38147130456504
1194298,1194298_20227_2_0,1,0.031188893775848107,0.0,0,42,0,40,0,30,15.509626314293833,15.900255754475703,11.61615515771526
1196181,1196181_20227_2_0,0,0.05698243685944059,0.42071643286573146,40,81,29,73,6,73,61.525100128319785,50.54119842905471,42.07823618618035
